Actual,Predicted
384.79999999999995,384.42444
377.45,384.1078
371.95,383.30655
364.65,381.58734
376.05,378.5683
380.1,376.84067
380.8,376.62863
379.55,377.41052
372.4,378.4839
361.74999999999994,378.57742
345.85,376.62033
337.95,371.56033
338.55,364.36377
335.25,357.03503
328.9,350.17554
330.35,343.65826
329.75,338.442
317.05,334.5978
301.8,330.33014
304.35,324.34576
318.75,318.55893
327.1000000000001,315.60864
313.49999999999994,315.79932
323.15,315.91934
321.24999999999994,317.3185
333.3500000000001,318.9877
313.9,322.2405
315.35,323.28897
315.4,323.1544
319.0,322.34995
314.15000000000003,321.75278
305.6,320.68442
304.1,318.33148
326.4,315.36334
322.6,315.46497
318.85,316.77145
318.3,318.1007
333.6,319.1959
329.55,322.09515
325.6000000000001,325.0678
326.19999999999993,327.15265
337.6,328.53186
328.65,330.87665
334.1,332.21173
332.0,333.5516
346.2,334.41122
347.45,336.83475
350.55,339.97763
355.25,343.54013
361.25,347.507
368.15,351.9914
369.05,357.1122
369.05,362.01294
365.3999999999999,366.11472
369.8,368.68076
365.65,370.63284
375.65,371.36667
373.8,372.7107
374.75,373.93295
363.95,375.05823
373.45,374.45505
359.1499999999999,374.30515
355.75,372.40405
374.44999999999993,369.32855
371.05,368.62274
368.6,368.85327
371.4,369.2668
372.9,370.13123
375.85,371.34103
375.15,372.99554
361.1,374.57407
361.1,373.92313
376.55,372.11948
384.0,372.05963
387.4,374.01334
387.7,377.32187
389.0,380.9924
381.3,384.54846
378.1,386.45312
382.15,386.71216
381.65,386.5653
378.75,386.11838
377.3,385.1524
380.25,383.82556
377.15,382.89404
374.44999999999993,381.8734
385.15,380.5744
389.3,380.80963
394.49999999999994,382.45065
399.3,385.4026
396.2,389.37012
390.6,392.92252
385.2,394.95804
380.95,395.08643
373.8500000000001,393.51144
326.1,390.18298
349.25,379.62057
338.15,369.77872
338.65,360.08148
338.45,351.9066
335.65,345.69754
339.80000000000007,341.08575
330.35,338.6036
332.35,336.38293
331.5,334.91437
328.79999999999995,333.95773
326.8,333.05807
341.65,332.04327
349.1,333.1368
350.15,336.29218
347.3,340.34393
339.55,343.96735
354.75,345.78058
355.75,348.41592
354.3,351.26465
324.55,353.64377
323.5,351.30225
325.25,346.4931
325.85,341.15613
333.2,336.31714
339.25,333.42822
337.05,332.87076
340.9,333.42526
342.15000000000003,335.08533
351.3,337.32587
361.05,340.86002
367.15,345.99442
366.0,352.18704
367.1,357.9774
369.0,362.89972
365.75,366.90555
360.6,369.36816
360.75,369.88614
361.3500000000001,369.24365
368.6,368.10046
366.30000000000007,367.83594
381.3,367.7726
378.15,369.94275
383.05,372.62338
379.7,375.9335
381.99999999999994,378.66772
380.2,381.0285
387.1499999999999,382.58737
379.9,384.4547
380.69999999999993,385.19632
383.45,385.3233
379.45,385.46228
385.6499999999999,385.01532
387.05,385.18076
395.65,385.85394
390.55,387.93988
391.04999999999995,389.80478
390.9,391.3738
391.75,392.53104
389.25,393.4111
391.75,393.65167
392.8,393.85294
395.3,394.14304
387.25,394.79538
379.8,394.41592
371.9,392.4683
369.8,388.79767
363.8999999999999,384.37677
372.55000000000007,379.3152
364.75,375.81863
370.55,372.58737
360.15,370.79446
371.5,368.60822
367.1,368.11646
400.09999999999997,368.02292
387.6,372.81308
385.95,377.92377
407.55,382.32596
410.2500000000001,388.76743
412.4000000000001,395.8124
412.65,402.52682
406.55,408.13855
409.30000000000007,411.4476
416.40000000000003,413.3731
424.75,415.22968
425.5500000000001,417.9517
426.3,420.87064
425.20000000000005,423.5958
425.7500000000001,425.66132
426.3,427.13727
424.95,428.1408
424.95,428.5328
426.4,428.523
422.8500000000001,428.4928
421.3999999999999,427.93793
407.7,426.96692
401.2,423.92874
402.0,419.25824
406.0,414.45035
405.65,410.80902
414.95000000000005,408.28796
406.5,408.09973
410.20000000000005,408.0469
413.2500000000001,408.64658
414.05000000000007,409.96384
414.9,411.61722
414.9,413.35388
402.44999999999993,414.8923
397.8,414.3151
405.0,411.98215
405.0,410.00784
412.90000000000003,408.4851
415.30000000000007,408.56305
409.1000000000001,409.86636
417.75000000000006,410.7998
417.05000000000007,412.65164
412.4000000000001,414.64008
405.50000000000006,415.76526
407.19999999999993,415.2631
399.75,414.16278
380.8,411.79767
380.35,406.3634
381.65,399.93777
373.8500000000001,394.02338
373.45,388.12207
377.55,383.02286
371.1,379.67188
375.45,376.8769
367.85,375.42468
376.95,373.87143
372.25,373.7769
373.95,373.8518
376.6,374.26947
360.55,375.1934
358.85,374.0213
357.35,371.61234
357.4,368.6128
354.95,365.69363
350.7,362.8777
345.05,359.92163
349.35,356.51587
368.2,353.92703
372.05,354.76474
365.95,357.9587
366.2,361.22473
365.7,364.1374
361.3,366.37332
364.34999999999997,367.29538
366.55,367.7687
365.75,368.21335
369.55,368.4603
373.35,369.09128
372.45,370.37656
374.2,371.72537
370.59999999999997,373.1733
365.3,373.96817
366.35,373.544
361.9,372.63766
380.69999999999993,370.95105
410.95000000000005,371.69217
413.8500000000001,377.93304
414.8000000000001,386.8369
419.15,396.19202
408.6000000000001,405.12982
413.95000000000005,411.0498
404.05,415.1982
403.9,416.2933
394.6,415.48676
395.25,412.36172
400.45,408.4673
399.9,405.40994
409.05,403.16364
407.45,403.0063
413.75000000000006,403.81894
410.00000000000006,405.98996
409.15000000000003,408.08887
421.70000000000005,409.75073
420.75000000000006,412.7307
396.1,415.87338
399.15,415.1391
398.95,412.80957
399.8,409.84296
398.95,407.04575
398.1,404.61237
395.80000000000007,402.61127
389.74999999999994,400.81577
391.0,398.5401
390.0,396.50662
391.0,394.7512
390.45,393.5483
386.15,392.75226
387.9,391.6972
370.79999999999995,390.90347
369.1000000000001,387.9491
366.30000000000007,383.98175
365.65,379.5914
364.05,375.4825
366.69999999999993,371.88104
372.09999999999997,369.44412
371.45000000000005,368.76157
374.7,369.08063
370.4,370.3935
372.94999999999993,371.48856
372.6,372.67743
382.05,373.69843
377.75,375.8082
361.95,377.62164
367.85,376.8056
368.4,375.45993
366.15,374.0475
373.6,372.4727
366.9,372.07025
369.7,371.43774
372.5,371.1729
376.95,371.53967
368.35,372.83716
371.25000000000006,373.27545
374.5,373.59128
369.65,374.23874
372.3,374.2984
366.9,374.39764
368.6,373.7395
363.65,372.98984
363.70000000000005,371.59094
365.95,370.03232
366.0,368.90967
377.65,368.19333
383.15,369.44058
382.5,372.39014
380.2,375.81494
384.79999999999995,378.72272
385.6499999999999,381.5849
391.8,384.1294
392.05,387.00375
390.35,389.68475
389.2,391.6396
390.8,392.74414
390.95,393.43253
387.6,393.79852
380.05,393.45135
379.95,391.68338
383.6,389.3544
385.85,387.54037
384.75,386.58118
381.25,386.08817
372.94999999999993,385.4453
383.35,383.6493
378.0,382.9312
369.4,382.14746
362.3,380.2453
367.35,376.99408
372.5,374.1451
366.6,372.62546
370.2,371.242
369.55,370.65134
368.25,370.49765
374.2,370.43832
374.1,371.2788
369.1000000000001,372.49152
366.85,373.0521
362.8,372.85757
366.6,371.69144
371.3,370.66742
370.85,370.51038
362.25,370.79813
358.4,370.10062
358.4,368.4176
353.7,366.40723
342.2,363.82788
340.65000000000003,359.68915
347.3,355.03818
345.95,351.65158
349.15,349.25204
341.4,348.19766
321.90000000000003,346.98547
320.2,343.17877
287.65,338.21088
292.75,328.80136
261.4,318.88852
267.15,305.78046
260.4,293.43286
258.35,282.25214
256.4,272.9601
207.8,265.7213
231.75,254.24074
255.6,244.97922
248.2,241.2689
251.3,240.27773
251.65,241.3938
251.3,243.62006
244.8,246.14282
244.8,247.64536
248.1,248.35066
250.85,248.92244
251.9,249.6928
262.85,250.60837
268.9,252.92139
267.6,256.53275
268.15,260.25226
270.5,263.62097
265.2,266.65427
271.9,268.39102
277.6,270.04245
270.65,272.18027
271.15,273.39508
272.95,273.9926
287.65,274.39468
290.1,276.5881
266.35,279.84998
263.1,280.1357
270.15,278.25906
282.4,276.319
285.05,276.22073
289.7,277.54843
291.5,280.15186
309.35,283.39133
308.4,288.96643
309.25,295.01724
293.3,300.66272
319.2,303.16467
323.75,307.04117
317.1499999999999,311.77563
310.6,315.4769
315.6,317.20636
326.65000000000003,318.2561
331.8,320.2692
323.8,323.25705
329.35,325.30975
339.95,327.32443
339.55,330.48932
339.2,333.82166
341.15,336.75885
343.3,339.34247
346.05000000000007,341.66605
346.55,343.90173
338.65,345.8486
345.3,346.27295
339.75,346.70065
340.8,346.2891
341.29999999999995,345.6109
343.8,344.9387
348.9,344.70758
349.6,345.46356
355.65,346.7749
351.84999999999997,349.0683
344.0,351.07822
343.2,351.57373
342.65,351.03653
343.9,349.90152
343.8,348.75073
346.8,347.73117
360.4,347.34207
359.45,349.24573
345.95,352.05374
340.6,353.13388
343.15,352.36166
334.95,350.9906
332.2,348.31924
320.40000000000003,344.90518
315.15,339.9106
311.2,333.9951
313.0,327.82318
317.3,322.59158
314.7,319.18808
311.99999999999994,316.93686
313.9,315.29346
309.3999999999999,314.48434
309.05,313.6503
318.6,312.87314
315.15,313.52676
312.5,314.43317
315.2,315.00922
311.35,315.68494
314.95,315.79523
327.1000000000001,316.05737
323.8,318.01553
326.65000000000003,320.22003
331.3,322.66666
335.0,325.55273
341.2,328.8016
347.65,332.66666
348.1,337.24243
357.45000000000005,341.66074
357.45000000000005,346.68256
356.65,351.3506
353.6000000000001,355.06824
354.35,357.3062
349.0,358.49512
346.1,358.16907
354.25,356.62607
350.55,355.732
360.05000000000007,354.80066
355.75,355.30795
348.8,355.9575
359.9,355.65118
366.0,356.39764
353.0,358.4715
352.05,359.20746
345.6,358.97653
343.85,357.3244
341.6,354.85422
342.5,351.9429
351.65,349.3056
352.65,348.44888
353.55,348.85394
346.1,350.0584
357.85,350.5276
347.85,352.1559
332.3,352.81387
324.6,350.69495
313.75,346.2411
326.15,339.57578
339.55,334.2688
341.0,332.26672
341.75,332.61722
353.3,334.38562
350.34999999999997,338.32568
362.9,342.55933
360.65,348.13483
359.75,353.38794
357.2,357.6187
357.6499999999999,360.32373
349.8999999999999,361.84268
348.95,361.3836
342.79999999999995,359.73346
349.95,356.7678
347.54999999999995,354.45718
348.95,352.48706
355.35,351.18503
358.35,351.33102
364.34999999999997,352.6967
363.70000000000005,355.41165
364.4,358.43457
353.65,361.3249
342.7,362.24234
359.85,360.40054
356.9,359.63367
353.65,359.1317
361.1,358.41028
368.65000000000003,358.70575
371.1,360.57907
367.05,363.43216
366.75,365.8906
371.6,367.7535
368.05,369.69516
365.5,370.90353
366.1,371.1758
379.65,370.96072
391.1,372.38928
381.9,376.14023
375.85,379.3922
375.15,381.08484
392.25,381.5616
398.95,383.68088
410.15,387.34918
411.55,392.9768
423.79999999999995,399.12375
438.20000000000005,406.46368
435.8,415.49573
453.70000000000005,423.84625
471.50000000000006,433.2298
463.3500000000001,444.40723
463.9,453.7683
471.0000000000001,460.85468
466.3,466.64398
467.0,470.1133
475.7500000000001,471.8617
475.55000000000007,473.64407
467.75000000000006,475.10498
463.3,475.01163
444.24999999999994,473.41672
468.65,468.40344
470.75000000000006,465.83533
478.5500000000001,465.22623
483.55,466.97946
483.4,470.5517
485.40000000000003,474.6224
483.75,478.6995
503.8500000000001,481.94098
498.9,487.2326
499.45,492.09525
496.80000000000007,496.11224
513.85,498.65097
517.0,502.52997
508.35,506.9833
511.25000000000006,509.78876
536.65,511.71286
536.9500000000002,516.653
527.9500000000002,522.49457
515.5,526.623
532.8,527.3126
558.6,528.6183
547.6500000000001,533.892
535.8,538.83276
523.6500000000001,541.1029
518.8500000000001,539.71454
519.1,535.7748
509.70000000000005,531.019
542.75,525.0684
550.8,524.3719
560.1,527.8167
568.4000000000001,534.5221
566.95,543.3453
582.05,551.817
581.95,561.17
576.85,569.512
591.85,575.2154
616.6,580.8957
627.75,589.4442
636.55,599.90173
655.75,611.15607
664.0500000000001,624.1125
653.5,637.2078
673.8,646.5551
662.0,655.6176
665.2,660.9607
704.3,663.90424
675.9,671.2808
692.8999999999999,675.0018
720.4999999999999,679.03766
729.85,686.9371
752.45,697.0522
748.9499999999999,710.464
748.4,722.7997
750.75,732.44293
745.35,739.3372
728.15,742.54736
719.05,740.2342
717.35,733.749
688.25,725.69916
679.65,713.20734
686.25,699.08276
721.9,687.4626
738.5499999999998,684.8957
706.85,690.3427
688.25,694.2079
703.05,693.87067
710.5499999999998,693.8564
702.4000000000001,695.15094
736.25,695.5965
742.25,701.16034
835.55,709.44403
814.75,733.51654
823.0,758.43176
823.6,781.4061
744.65,799.45264
731.05,797.94824
750.35,784.10077
755.5,768.88495
720.9499999999999,755.9073
720.45,740.36786
737.8,726.18585
725.35,717.96277
730.75,712.2442
749.15,709.96936
746.25,713.1086
746.75,718.2626
730.05,723.9383
